university,course_dept,course_number,course_title,description,professors,recent_semesters,credits,url
stanford,CS,1U,CS 1U - Practical Unix,"A practical introduction to using the Unix operating system with a focus on Linux command line skills. Class will consist of video tutorials and weekly hands-on lab sections. The time listed on AXESS is for the first week's logistical meeting only. Topics include: grep and regular expressions, ZSH, Vim and Emacs, basic and advanced GDB features, permissions, working with the file system, revision control, Unix utilities, environment customization, and using Python for shell scripts. Topics may be added, given sufficient interest. Course website: http://cs1u.stanford.edu. Class Notes: Please see course website http://cs1u.stanford.edu for class times and locations.",Julie Zelenski; J. Zelenski,"Winter 2020, Fall 2019, Spring 2019, Fall 2018, Fall 2017",1,https://www.coursicle.com/stanford/courses/CS/1U/
stanford,CS,7,CS 7 - Personal Finance for Engineers,"Introduction to the fundamentals and analysis specifically needed by engineers to make informed and intelligent financial decisions. Course will focus on actual industry-based financial information from technology companies and realistic financial issues. Topics include: behavioral finance, budgeting, debt, compensation, stock options, investing and real estate. No prior finance or economics experience required.",A. Nash,"Fall 2019, Fall 2018, Fall 2017",1,https://www.coursicle.com/stanford/courses/CS/7/
stanford,CS,9,CS 9 - Problem-Solving for the CS Technical Interview,"This course will prepare students to interview for software engineering and related internships and full-time positions in industry. Drawing on multiple sources of actual interview questions, students will learn key problem-solving strategies specific to the technical/coding interview. Students will be encouraged to synthesize information they have learned across different courses in the major. Emphasis will be on the oral and combination written-oral modes of communication common in coding interviews, but which are unfamiliar settings for problem solving for many students. Prerequisites: CS 106B or X.",C. Lee,Fall 2017,1,https://www.coursicle.com/stanford/courses/CS/9/
stanford,CS,11SI,CS 11SI - How to Make VR: Introduction to Virtual Reality Design and Development,,J. Borenstein,Fall 2018,,https://www.coursicle.com/stanford/courses/CS/11SI/
stanford,CS,20,CS 20 - Tensorflow for Deep Learning Research,,C. Manning,Winter 2017,,https://www.coursicle.com/stanford/courses/CS/20/
stanford,CS,22A,CS 22A - The Social & Economic Impact of Artificial Intelligence,,Jerry Kaplan; J. Kaplan,"Winter 2020, Winter 2017",,https://www.coursicle.com/stanford/courses/CS/22A/
stanford,CS,51,CS 51 - Cs + Social Good Studio: Designing Social Impact Projects,,J. Cain,Winter 2017,,https://www.coursicle.com/stanford/courses/CS/51/
stanford,CS,52,CS 52 - CS + Social Good Studio: Implementing Social Good Projects,"Continuation of CS51 (CS + Social Good Studio: Designing Social Impact Projects)Teams enter the quarter having completed and tested a minimal viable product (MVP) with a well-defined target user, and a community partner. Students will learn to apply scalable technical frameworks, methods to measure social impact, tools for deployment, user acquisition techniques and growth/exit strategies. The purpose of the class is to facilitate students to build a sustainable infrastructure around their product idea. CS52 will host mentors, guest speakers and industry experts for various workshops and coaching-sessions. The class culminates in a showcase where students share their projects with stakeholders and the public. Prerequisite: CS 51, or consent of instructor. Class Notes: Continuation of CS 51. Enrollment limited. Consent of instructors required. Contact the teaching team and find more info at CS51.stanford.edu.",Jerry Cain; J. Cain,"Fall 2020, Spring 2020, Spring 2019, Spring 2018",2,https://www.coursicle.com/stanford/courses/CS/52/
stanford,CS,53SI,CS 53SI - Discussion in Tech for Good,"This course introduces students to various intersections of social good and technology through a weekly discussion and speaker series. Students will be given a space to exchange ideas and experiences regarding a certain social issue. Invited speakers come from industry, academia, and non-profit organizations. They will share their career paths, what drove them to these fields, and advice for students. The topics examined will span a broad variety of social issues -- from race and class to education and sustainability -- and help students better understand how to kick off their journey in using computer science for social good. Class Notes: Permission of instructor required to enroll. Enrollment codes will be given in class.",M. Sahami,Fall 2017,1,https://www.coursicle.com/stanford/courses/CS/53SI/
stanford,CS,56N,CS 56N - Great Discoveries and Inventions in Computing,"This seminar will explore some of both the great discoveries that underlie computer science and the inventions that have produced the remarkable advances in computing technology. Key questions we will explore include: What is computable? How can information be securely communicated? How do computers fundamentally work? What makes computers fast? Our exploration will look both at the principles behind the discoveries and inventions, as well as the history and the people involved in those events. Some exposure to programming will be helpful, but it not strictly necessary. Class Notes: Introductory Seminar. Preference to first-year students; sophomores admitted if space available. Advance sign-up process and deadlines at http://introsems.stanford.edu.",J. Hennessy,"Fall 2019, Fall 2017",3,https://www.coursicle.com/stanford/courses/CS/56N/
